Domain,Len,IDN,Date
corronainfo,11,0,2020-03-16
googlecorronavirus,18,0,2020-03-16
corronavirusnewsnow,19,0,2020-03-18
corronas,8,0,2020-03-18
corronavirusnow,15,0,2020-03-20
corronainusa,12,0,2020-03-21
corronaguard,12,0,2020-03-23
corronaguardian,15,0,2020-03-23
