Domain,Len,IDN,Date
googlecoroonavirus,18,0,2020-03-16
coroonay,8,0,2020-03-19
coroonavirusnow,15,0,2020-03-20
coroonavirus,12,0,2020-03-20
coroonavirus,12,0,2020-03-21
